datetime,value
2020-12-14 17:45:02.326000,264.7385
2020-12-14 18:00:02.451000,243.0802
2020-12-14 18:15:02.103000,236.1357
2020-12-14 18:30:02.172000,253.5928
2020-12-14 18:45:02.277000,264.7618
2020-12-14 19:00:02.122000,272.9883
2020-12-14 19:15:02.141000,279.3525
2020-12-14 19:30:02.285000,277.6288
2020-12-14 19:45:02.304000,281.1541
2020-12-14 20:00:02.280000,257.9019
2020-12-14 20:15:02.228000,265.4401
2020-12-14 20:30:02.222000,289.4108
2020-12-14 20:45:06.660000,266.5216
2020-12-14 21:00:02.823000,252.057
2020-12-14 21:15:02.415000,254.4155
2020-12-14 21:30:02.355000,271.4934
2020-12-14 21:45:02.255000,276.4542
2020-12-14 22:00:02.192000,293.2111
2020-12-14 22:15:02.243000,287.5698
2020-12-14 22:30:00.161000,300.0644
2020-12-14 22:45:02.264000,300.0919
2020-12-14 23:00:02.245000,297.095
2020-12-14 23:15:02.201000,195.7234
2020-12-14 23:30:07.173000,156.2292
2020-12-14 23:45:02.212000,156.1956
2020-12-15 00:00:02.154000,138.7786
2020-12-15 00:15:04.377000,142.2943
2020-12-15 00:30:04.368000,140.0405
2020-12-15 00:45:04.330000,139.378
2020-12-15 01:00:04.004000,132.4272
2020-12-15 01:15:04.354000,136.4543
2020-12-15 01:30:03.537000,135.9884
2020-12-15 01:45:04.172000,127.1734
2020-12-15 02:00:03.955000,135.0253
2020-12-15 02:15:02.270000,133.6064
2020-12-15 02:30:02.342000,134.6865
2020-12-15 02:45:02.240000,132.0023
2020-12-15 03:00:02.342000,137.5864
2020-12-15 03:15:02.252000,135.9552
2020-12-15 03:30:02.148000,134.108
2020-12-15 03:45:02.396000,124.4559
2020-12-15 04:00:02.175000,133.2134
2020-12-15 04:15:02.134000,128.5344
2020-12-15 04:30:04.565000,133.4556
2020-12-15 04:45:04.755000,140.3995
2020-12-15 05:00:02.114000,137.1674
2020-12-15 05:15:57.499000,136.4395
2020-12-15 05:30:16.763000,135.1015
2020-12-15 05:48:52.042000,130.8396
2020-12-15 06:00:21.811000,136.6108
2020-12-15 06:15:14.624000,141.8706
2020-12-15 06:30:02.158000,138.0896
2020-12-15 06:45:02.308000,144.2157
2020-12-15 07:00:02.161000,138.2705
2020-12-15 07:15:02.141000,136.3087
2020-12-15 07:30:02.164000,135.1848
2020-12-15 07:45:02.181000,137.083
2020-12-15 08:00:02.160000,137.5848
2020-12-15 08:15:02.561000,140.655
2020-12-15 08:30:02.154000,139.9469
2020-12-15 08:45:02.142000,139.7787
2020-12-15 09:00:07.129000,143.5682
2020-12-15 09:15:02.197000,225.4277
2020-12-15 09:30:02.347000,227.4971
2020-12-15 09:45:02.164000,218.4163
2020-12-15 10:00:02.131000,218.8885
2020-12-15 10:15:02.196000,223.644
2020-12-15 10:30:02.157000,215.6499
2020-12-15 10:45:02.139000,220.429
2020-12-15 11:00:02.148000,215.5865
2020-12-15 11:15:02.157000,212.8367
2020-12-15 11:30:02.124000,210.1785
2020-12-15 11:45:02.119000,213.7767
2020-12-15 12:00:02.174000,210.2953
2020-12-15 12:15:02.202000,435.1862
2020-12-15 12:30:02.231000,471.3192
2020-12-15 12:45:02.250000,451.5872
2020-12-15 13:00:02.160000,413.991
2020-12-15 13:15:02.375000,384.8919
2020-12-15 13:30:02.134000,324.2444
2020-12-15 13:45:02.199000,264.1511
